,Calories,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Sugar Alcohol,Protein,Vitamin A,Vitamin C,Calcium,Iron,class
112,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
113,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
114,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
115,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
116,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
117,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
118,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
119,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
120,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
121,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
122,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
123,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
124,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
125,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
126,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
127,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
128,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
129,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
130,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
131,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
132,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
133,109.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
134,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
135,109.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
136,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
137,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
138,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
139,121.0,0,0.0,0.0,0.0,0.0,0,7.0,3.8,0.0,1.4,0,0.1,0,0,0,0,0
140,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
